Cep,Rua,Bairro,Lat,Lng
58402720,Rua Antônio Maria da Conceição,Nações,-7.2484810,-35.9015986
58403380,Rua Antônio Geraldo Felismino,Jardim Continental,-7.2223667,-35.8734667
58417598,Rua Abdon Napy,Presidente Médici,-7.2223667,-35.8734667
58415580,Rua Absalão Emerenciano,Cruzeiro,-7.2511199,-35.9035761
58414260,Rua Acre,Liberdade,-7.2372812,-35.8919876
58404210,Rua Adalgisa Ramos Raia,Jeremias,-7.2024109,-35.9022759
58430133,Rua Adão de Souza,Bodocongó,-7.2310636,-35.9195418
58433555,Rua Adenis Irineu Freire,Malvinas,-7.2223667,-35.8734667
58415605,Rua Aderaldo Vasconcelos Diniz,Cruzeiro,-7.2223667,-35.8734667
58428133,Rua Adiel Valdivino,Centenário,-7.2275136,-35.9050808
58410870,Rua Adolfo José Amaral,Sandra Cavalcante,-7.2511456,-35.8779412
58415093,Praça Afonso Agra Filho,Jardim Paulistano,-7.2130636,-35.8696068
58400235,Rua Afonso Campos,Centro,-7.2193398,-35.8816382
58403400,Rua Afonso Dantas Campos,Jardim Continental,-7.2223667,-35.8734667
58400287,Rua Afonso Pena,Centro,-7.2213575,-35.8850893
58410680,Rua Agenor Cavalcanti Vasconcelos,Sandra Cavalcante,-7.2223667,-35.8734667
58430355,Rua Ageu Genuíno da Silva,Bodocongó,-7.2223235,-35.9142677
58401396,Rua Agrimensor José de Brito,Lauritzen,-7.2134656,-35.8807250
58401375,Travessa Agrimensor José de Brito,Lauritzen,-7.2134656,-35.8807250
58404041,Rua Agripino Diniz,Jeremias,-7.2074364,-35.8990316
58432470,Rua Alaíde de Araújo Medeiros,Dinamérica,-7.2223667,-35.8734667
58430083,Rua Alberto Gentile,Bodocongó,-7.2278370,-35.9156901
58417350,Rua Albino Peixoto,Santa Cruz,-7.2466493,-35.9071384
58432515,Rua Alceu Amoroso Lima,Malvinas,-7.2422628,-35.9192352
58410716,Rua Alfredo Ferreira Bastos,Sandra Cavalcante,-7.2474115,-35.8723127
58407366,Rua Alfredo Godofredo de Santana,José Pinheiro,-7.2223667,-35.8734667
58410678,Rua Alfredo Queiroz,Sandra Cavalcante,-7.2404553,-35.8744685
58423510,Rua Alice Araújo Cruz,Três Irmãs,-7.2556841,-35.9253763
58416565,Rua Alice Carneiro,Santa Rosa,-7.2337632,-35.9054355
58432485,Rua Alice de Oliveira Gonzaga,Dinamérica,-7.2436954,-35.9148714
58407026,Travessa Alice Gaudêncio,Monte Castelo,-7.2159287,-35.8676504
58407028,Rua Alice Gaudêncio,Monte Castelo,-7.2159287,-35.8676504
58433610,Rua Almany José Tavares de Melo,Malvinas,-7.2223667,-35.8734667
58400265,Travessa Almirante Alexandrino,Centro,-7.2223667,-35.8734667
58407375,Rua Almirante Tamandaré,José Pinheiro,-7.2227742,-35.8748635
58407376,Travessa Almirante Tamandaré,José Pinheiro,-7.2227742,-35.8748635
58410258,Rua Aluísio Cunha Lima,Catolé,-7.2223667,-35.8734667
58429095,Rua Álvaro Ferreira Leão,Universitário,-7.2223667,-35.8734667
58410500,Rua Álvaro Mirapalheta,Catolé,-7.2474728,-35.8820614
58411010,Rua Alvino de Farias Pimentel,Itararé,-7.2223667,-35.8734667
58433872,Travessa Alzira Guedes Pinheiro,Ramadinha,-7.2149563,-35.9267047
58407325,Rua Amaro Coutinho,José Pinheiro,-7.2236971,-35.8704549
58416685,Rua Amaro da Costa Barros,Santa Rosa,-7.2345777,-35.9089395
58414280,Avenida Amazonas,Liberdade,-7.2396624,-35.8933260
58417583,Rua Amenaíde Pimentel,Presidente Médici,-7.2519729,-35.9113145
58400362,Rua Veterinário Américo Braga,São José,-7.2223667,-35.8734667
58416095,Rua Américo Carneiro,Jardim Quarenta,-7.2361952,-35.9000815
58407465,Rua Américo Falcão,José Pinheiro,-7.2223667,-35.8734667
58433760,Rua Ana Brito Figueiredo,Ramadinha,-7.2192137,-35.9277605
58432480,Rua Ana Cavalcante,Dinamérica,-7.2435114,-35.9144384
58400756,Rua Ana da Silva Meira,Monte Santo,-7.2093170,-35.9012116
58410353,Rua Ana Firmino da Costa,Catolé,-7.2329404,-35.8817104
58407293,Rua Ana Moreira,José Pinheiro,-7.2235342,-35.8674771
58410568,Rua Ana Paula Duarte de Medeiros,Catolé,-7.2488630,-35.8826889
58433413,Rua Ana Paula Ramos de Medeiros,Malvinas,-7.2270225,-35.9253594
58415625,Rua Ana Vilar,Cruzeiro,-7.2459824,-35.9018766
58416268,Travessa Anacleto Eloy,Quarenta,-7.2333814,-35.8992664
58432440,Rua Anália Ribeiro Dias,Dinamérica,-7.2404808,-35.9126011
58410312,Travessa Padre Anchieta,Catolé,-7.2317536,-35.8790035
58415172,Rua Prefeito Anfrísio Ribeiro de Brito,Jardim Paulistano,-7.2991534,-35.7369885
58428480,Rua Major Angelino Xavier,Pedregal,-7.2220230,-35.9060235
58417248,Rua Coronel Aníbal Fernandes,Santa Cruz,-7.2223667,-35.8734667
58410165,Rua Anísio Rodrigues de Souza Campos,Catolé,-7.2223667,-35.8734667
58400752,Rua Antonieta Cavalcante,Monte Santo,-7.2112139,-35.9014601
58433775,Rua Antônio Alves da Silva,Ramadinha,-7.2179572,-35.9289988
58403350,Rua Antônio Alves de Lima,Jardim Continental,-7.1949138,-35.8907451
58403351,Travessa Antônio Alves de Lima,Jardim Continental,-7.1949138,-35.8907451
58416350,Rua Antônio Arruda,Santa Rosa,-7.2161225,-35.8725912
58407118,Travessa Antônio Azevedo de Farias,Monte Castelo,-7.2233217,-35.8623408
58407125,Rua Antônio Azevedo de Farias,Monte Castelo,-7.2233217,-35.8623408
58417343,Rua Antônio Barbosa Pessoa,Santa Cruz,-7.2223667,-35.8734667
58404168,Rua Antônia Barbosa de Lima,Jeremias,-7.2026941,-35.8990386
58432508,Rua Antônio Barbosa de Medeiros,Malvinas,-7.2430422,-35.9202872
58432890,Rua Antônio Barbosa de Melo,Malvinas,-7.2372219,-35.9214188
58407673,Rua Antônio Barbosa de Menezes,Mirante,-7.2353856,-35.8635756
58420225,Rua Antônio Barbosa,Velame,-7.2262692,-35.8669188
58407445,2ª Travessa Antônio Bernadino de Sena,José Pinheiro,-7.2251433,-35.8718225
58407443,Rua Antônio Bernadino de Sena,José Pinheiro,-7.2251433,-35.8718225
58430010,Rua Antônio Bezerra Paz,Bodocongó,-7.1998541,-35.8814661
58401654,Rua Antônio Bezerra Paz,Alto Branco,-7.1998541,-35.8814661
58407500,Rua Antônio Capoeiro,José Pinheiro,-7.2293526,-35.8722506
58402075,Rua Antônio Catão,Jardim Tavares,-7.2058124,-35.8729020
58402078,Travessa Antônio Catão,Jardim Tavares,-7.2058124,-35.8729020
58430440,Rua Antônio Cavalcanti,Bodocongó,-7.2224331,-35.9186564
58430145,Rua Antônio de Brito Lira,Bodocongó,-7.2293643,-35.9191529
58410180,Rua Antônio de Souza Lopes,Catolé,-7.2333530,-35.8723260
58420350,Rua Antônio de Souza Barbosa,Velame,-7.2786477,-35.9085200
58417727,Rua Antônio Eulálio,Presidente Médici,-7.2223667,-35.8734667
58416495,Rua Antônio Evaristo,Santa Rosa,-7.2333304,-35.9089481
58415570,Rua Doutor Antônio Figueiredo Agra,Cruzeiro,-7.2525188,-35.9004089
58432800,Rua Antônio Francisco Alves,Malvinas,-7.2392968,-35.9261854
58417563,Rua Antônio Gomes Périco,Presidente Médici,-7.2521756,-35.9082585
58410223,Rua Antônio Guedes de Andrade,Catolé,-7.2284267,-35.8800518
58430015,Rua Antonio Jose Santiago,Bodocongó,-7.2242125,-35.9117768
58432045,Rua Antônio José Santiago 2,Dinamérica,-7.2292416,-35.9126221
58430250,Rua Antônio Marinho,Bodocongó,-7.2243708,-35.8939460
58408305,Rua Antônio Matias Figueiredo,Vila Cabral,-7.2480275,-35.8700562
58404222,Rua Antônio Soares da Silva,Jeremias,-7.2051179,-35.9005047
58428125,Rua Antônio Soares Filho,Centenário,-7.2275443,-35.9044589
