idlocalidade,cod_localidade,tipo,nome_localidade,cod_microrregiao,nome_microrregiao,cod_mesorregiao,nome_mesorregiao,cod_uf,sigla_uf,nome_uf,cod_regiao,sigla_regiao,nome_regiao,cep,faixa_cep1,faixa_cep2,faixa_cep3,faixa_cep4,ddd,pop_atual,areakm,densidade,gentilico,prefeito,distancia_capital,tempo_percurso,location_lat,location_lng
1,1200013,Municipio,Acrelândia,12004,"Rio Branco",1202,"Vale do Acre",12,AC,Acre,1,N,Norte,,69945000,69949999,,,68,15.256,"1.807,948","6,94",acrelandense,"Ederaldo Caetano de Sousa",,,,
2,1200054,Municipio,"Assis Brasil",12005,Brasiléia,1202,"Vale do Acre",12,AC,Acre,1,N,Norte,,69935000,69939999,,,68,7.417,"4.974,175","1,22",assis-brasiliense,"Antonio Barbosa de Sousa",,,-10.9316252,-69.5587859
3,1200104,Municipio,Brasiléia,12005,Brasiléia,1202,"Vale do Acre",12,AC,Acre,1,N,Norte,,69932000,69933999,,,68,26.278,"3.916,502","5,46",brasileense,"Fernanda de Souza Hassem Cesar",,,-11.0128971,-68.7418934
4,1200138,Municipio,Bujari,12004,"Rio Branco",1202,"Vale do Acre",12,AC,Acre,1,N,Norte,,69926000,69926999,,,68,10.266,"3.034,869","2,79",bujariense,"Romualdo de Souza Araujo",,,-9.8276108,-67.9510322
5,1200179,Municipio,Capixaba,12004,"Rio Branco",1202,"Vale do Acre",12,AC,Acre,1,N,Norte,,69931000,69931999,,,68,11.733,"1.701,974","5,17",capixabense,"Jos&eacute; Augusto Gomes da Cunha",,,-10.5721119,-67.6751217
6,1200203,Municipio,"Cruzeiro do Sul",12001,"Cruzeiro do Sul",1201,"Vale do Juruá",12,AC,Acre,1,N,Norte,,69980000,69981999,,,68,88.376,"8.779,403","8,94",cruzeirense,"Ilderlei Souza Rodrigues Cordeiro",,,-7.6279952,-72.6762232
7,1200252,Municipio,Epitaciolândia,12005,Brasiléia,1202,"Vale do Acre",12,AC,Acre,1,N,Norte,,69934000,69934999,,,68,18.411,"1.654,768","9,13",epitaciolandense,"Jo&atilde;o Sebasti&atilde;o Flores da Silva",,,-11.0294543,-68.7407282
8,1200302,Municipio,Feijó,12002,Tarauacá,1201,"Vale do Juruá",12,AC,Acre,1,N,Norte,,69960000,69969999,,,68,34.780,"27.975,426","1,16",feijoense,"Kiefer Roberto Cavalcante Lima",,,-8.1642363,-70.3529458
9,1200328,Municipio,Jordão,12002,Tarauacá,1201,"Vale do Juruá",12,AC,Acre,1,N,Norte,,69975000,69979999,,,68,8.317,"5.357,282","1,23",jordãoense,"Elson de Lima Farias",,,-9.1908802,-71.9483779
10,1200336,Municipio,"Mâncio Lima",12001,"Cruzeiro do Sul",1201,"Vale do Juruá",12,AC,Acre,1,N,Norte,,69990000,69999999,,,68,18.977,"5.452,853","2,79",mancio-limense,"Isaac de Souza Lima",,,-7.593657,-72.9265051
11,1200344,Municipio,"Manoel Urbano",12003,"Sena Madureira",1202,"Vale do Acre",12,AC,Acre,1,N,Norte,,69950000,69954999,,,68,9.459,"10.633,137","0,75",manoel-urbanense,"Jos&eacute; Altan&iacute;zio Taumaturgo S&aacute;",,,-9.0386907,-69.5737912
12,1200351,Municipio,"Marechal Thaumaturgo",12001,"Cruzeiro do Sul",1201,"Vale do Juruá",12,AC,Acre,1,N,Norte,,69983000,69984999,,,68,18.867,"8.191,692","1,74",thaumaturguense,"Isaac da Silva Piy&atilde;ko",,,-8.9481968,-72.7883456
